                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.99418,                0.69378,                 1.0304,                0.79755,                0.80184,                0.86087,                0.54988,                   1.18,                0.77443,                  1.143,             0.00075932,             0.00075932,             0.00075932
                     35,                0.98239,                0.64467,                 1.0017,                0.78166,                0.83065,                0.85519,                0.52048,                 1.1962,                0.79955,                 1.1625,             0.00073181,             0.00073181,             0.00073181
                     36,                0.99115,                0.67165,                 1.0022,                0.84063,                0.78515,                0.86938,                0.55636,                 1.1958,                0.76038,                 1.1647,             0.00070431,             0.00070431,             0.00070431
                     37,                0.97408,                0.63771,                0.98789,                0.76966,                0.80973,                0.84413,                0.52742,                 1.2529,                0.82164,                 1.1889,              0.0006768,              0.0006768,              0.0006768
                     38,                0.96915,                0.66211,                  1.003,                0.80165,                0.79483,                0.85271,                0.53338,                 1.2122,                0.78179,                 1.1556,              0.0006493,              0.0006493,              0.0006493
                     39,                 1.0039,                 0.6769,                 1.0102,                0.77935,                0.83128,                0.86264,                0.53581,                  1.207,                0.80535,                 1.1688,             0.00062179,             0.00062179,             0.00062179
                     40,                0.91828,                0.63193,                0.98212,                0.79343,                0.84569,                 0.8643,                0.54288,                 1.1971,                 0.7424,                 1.1533,             0.00059429,             0.00059429,             0.00059429
                     41,                0.94435,                0.60528,                 0.9995,                0.83278,                0.80843,                0.87113,                0.54999,                 1.1712,                 0.7468,                 1.1369,             0.00056678,             0.00056678,             0.00056678
                     42,                 0.9265,                0.59202,                0.96829,                0.79792,                0.81658,                0.86325,                0.56198,                 1.1638,                0.77566,                  1.135,             0.00053927,             0.00053927,             0.00053927
                     43,                0.93689,                 0.5996,                0.98262,                0.80742,                 0.8379,                0.87472,                0.57718,                 1.1496,                0.75521,                 1.1247,             0.00051177,             0.00051177,             0.00051177
                     44,                0.90704,                0.58652,                0.96686,                0.77644,                0.86042,                0.88339,                0.57268,                 1.1648,                0.76204,                 1.1421,             0.00048426,             0.00048426,             0.00048426
                     45,                0.87198,                0.56413,                0.95693,                 0.7988,                 0.8066,                0.87605,                0.57842,                 1.1639,                 0.7627,                 1.1437,             0.00045676,             0.00045676,             0.00045676
                     46,                0.90757,                0.55971,                0.96394,                0.78797,                0.84109,                0.87881,                0.56729,                 1.1848,                0.75211,                 1.1509,             0.00042925,             0.00042925,             0.00042925
                     47,                0.88707,                0.55632,                 0.9592,                0.79618,                0.86829,                0.88526,                0.56176,                 1.1912,                0.73197,                 1.1525,             0.00040175,             0.00040175,             0.00040175
                     48,                0.89126,                0.55183,                0.96437,                0.84798,                0.81401,                 0.8712,                0.56062,                 1.1961,                0.76683,                 1.1615,             0.00037424,             0.00037424,             0.00037424
                     49,                0.86609,                0.54786,                0.95223,                0.79827,                 0.8266,                0.86556,                0.55074,                 1.1907,                0.78491,                 1.1664,             0.00034674,             0.00034674,             0.00034674
                     50,                0.87714,                0.57747,                0.95593,                0.79258,                0.82171,                0.86839,                0.55644,                 1.1927,                0.78799,                 1.1704,             0.00031923,             0.00031923,             0.00031923
                     51,                0.85252,                0.52947,                 0.9552,                0.83248,                0.79641,                0.86373,                0.55952,                 1.1867,                 0.7833,                 1.1807,             0.00029172,             0.00029172,             0.00029172
                     52,                0.84194,                 0.5144,                0.93769,                0.80151,                0.80064,                  0.864,                0.56036,                 1.1854,                0.77143,                 1.1879,             0.00026422,             0.00026422,             0.00026422
                     53,                0.82733,                0.48799,                0.93687,                0.77212,                 0.8377,                0.86997,                0.56603,                 1.1894,                0.76113,                 1.1945,             0.00023671,             0.00023671,             0.00023671
                     54,                0.83191,                0.48411,                0.93929,                0.78314,                0.82567,                 0.8757,                0.57224,                 1.1902,                0.74033,                 1.2018,             0.00020921,             0.00020921,             0.00020921
                     55,                0.81667,                0.48599,                0.92027,                0.84915,                 0.7821,                0.87819,                0.57208,                 1.1891,                0.73101,                 1.1925,              0.0001817,              0.0001817,              0.0001817
                     56,                0.77908,                0.46149,                0.91982,                0.86247,                0.77973,                0.87399,                0.56866,                 1.1792,                0.72723,                  1.191,              0.0001542,              0.0001542,              0.0001542
                     57,                0.79337,                 0.4684,                0.92038,                0.81406,                0.80899,                0.87068,                0.57168,                 1.1797,                0.73062,                 1.1972,             0.00012669,             0.00012669,             0.00012669
                     58,                0.78281,                0.45511,                0.91174,                0.82346,                0.79242,                0.87331,                0.57919,                 1.1826,                0.74462,                 1.1955,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     59,                0.81516,                 0.4874,                0.93332,                0.84168,                0.79098,                0.87767,                0.57983,                 1.1836,                0.74562,                 1.1916,             7.1681e-05,             7.1681e-05,             7.1681e-05
