                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.0059,                0.69045,                0.96476,                0.82559,                0.74406,                0.84559,                0.52984,                 1.1949,                 0.8365,                 1.0543,              0.0006768,              0.0006768,              0.0006768
                     35,                0.98945,                0.66616,                0.94367,                0.84557,                0.75565,                0.85655,                0.53778,                 1.1834,                 0.7742,                  1.045,              0.0006468,              0.0006468,              0.0006468
                     36,                 1.0094,                0.67574,                0.95518,                0.80054,                0.81963,                0.86471,                0.53478,                 1.2203,                0.77957,                 1.0638,             0.00061679,             0.00061679,             0.00061679
                     37,                  1.011,                0.65046,                0.95197,                0.84405,                0.80995,                0.86969,                0.53758,                 1.2177,                0.75292,                 1.0688,             0.00058678,             0.00058678,             0.00058678
                     38,                0.99655,                 0.6604,                0.96161,                0.80404,                0.80589,                0.86241,                0.53553,                    1.2,                0.76417,                 1.0626,             0.00055678,             0.00055678,             0.00055678
                     39,                 1.0346,                0.68644,                0.95705,                0.83255,                0.79032,                0.86317,                0.53037,                 1.1929,                0.76298,                 1.0616,             0.00052677,             0.00052677,             0.00052677
                     40,                0.95327,                0.63322,                0.94337,                0.85907,                0.77996,                0.86988,                0.54871,                 1.1752,                0.74445,                 1.0568,             0.00049677,             0.00049677,             0.00049677
                     41,                0.97055,                0.61958,                0.97302,                0.86111,                0.80374,                0.86599,                 0.5427,                 1.1815,                0.73964,                 1.0602,             0.00046676,             0.00046676,             0.00046676
                     42,                0.96641,                0.61502,                0.93245,                0.87063,                 0.7731,                0.86455,                0.54547,                  1.161,                0.74565,                 1.0511,             0.00043675,             0.00043675,             0.00043675
                     43,                0.96361,                0.60922,                0.93797,                0.82805,                0.81281,                0.86277,                0.55582,                 1.1601,                0.73651,                 1.0532,             0.00040675,             0.00040675,             0.00040675
                     44,                0.94562,                0.62372,                 0.9395,                0.82503,                0.81207,                0.86391,                0.55272,                 1.1788,                0.75069,                 1.0575,             0.00037674,             0.00037674,             0.00037674
                     45,                0.99617,                0.62306,                 0.9507,                0.87274,                0.76627,                0.87148,                0.55654,                 1.1858,                0.75673,                 1.0602,             0.00034674,             0.00034674,             0.00034674
                     46,                0.91442,                0.57039,                0.92035,                 0.8383,                0.79727,                0.86509,                0.55182,                 1.1943,                0.74135,                 1.0698,             0.00031673,             0.00031673,             0.00031673
                     47,                0.92538,                0.57035,                0.92727,                0.83589,                0.78732,                0.85981,                 0.5455,                 1.1872,                0.75555,                 1.0691,             0.00028672,             0.00028672,             0.00028672
                     48,                0.92146,                0.56026,                0.92163,                0.81808,                0.81207,                0.86916,                0.54737,                 1.1873,                0.74736,                 1.0642,             0.00025672,             0.00025672,             0.00025672
                     49,                0.87239,                0.53314,                0.91361,                0.82214,                0.81953,                0.87034,                0.54414,                 1.1845,                0.72929,                 1.0606,             0.00022671,             0.00022671,             0.00022671
                     50,                0.91074,                0.54977,                0.91117,                0.84818,                0.78314,                0.87282,                0.55278,                 1.1822,                0.71517,                 1.0611,             0.00019671,             0.00019671,             0.00019671
                     51,                0.89177,                0.52983,                0.92333,                0.84102,                0.79551,                0.87225,                0.55858,                 1.1832,                0.70945,                 1.0628,              0.0001667,              0.0001667,              0.0001667
                     52,                0.88988,                0.56843,                0.91205,                0.82492,                0.79985,                0.86845,                0.55736,                 1.1792,                0.72189,                 1.0646,             0.00013669,             0.00013669,             0.00013669
                     53,                0.87746,                0.51468,                0.90951,                0.82298,                0.79545,                0.86819,                0.55614,                  1.187,                0.72693,                 1.0702,             0.00010669,             0.00010669,             0.00010669
                     54,                0.85841,                0.49286,                0.89961,                0.83064,                0.78675,                0.87174,                0.56025,                 1.1872,                0.72181,                 1.0749,             7.6682e-05,             7.6682e-05,             7.6682e-05
