                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.98516,                0.67397,                 1.0223,                0.78382,                0.81924,                0.85365,                 0.5379,                 1.1968,                0.81992,                 1.1426,             0.00057778,             0.00057778,             0.00057778
                     35,                0.95338,                 0.6428,                 0.9853,                0.78861,                0.82119,                 0.8411,                0.52664,                 1.1806,                0.81314,                 1.1351,             0.00054478,             0.00054478,             0.00054478
                     36,                0.95979,                0.66593,                0.98815,                0.84245,                0.77064,                0.86475,                0.56307,                 1.1764,                0.75611,                  1.133,             0.00051177,             0.00051177,             0.00051177
                     37,                0.94434,                0.62519,                0.97029,                0.80932,                 0.7896,                0.86425,                0.55648,                 1.1753,                0.76429,                 1.1413,             0.00047876,             0.00047876,             0.00047876
                     38,                0.92892,                0.62692,                0.99413,                0.77548,                0.84738,                 0.8659,                0.55271,                 1.1851,                0.75255,                 1.1479,             0.00044576,             0.00044576,             0.00044576
                     39,                0.93582,                0.62798,                0.97902,                 0.8061,                0.82881,                0.87003,                0.54779,                 1.1954,                0.73778,                 1.1574,             0.00041275,             0.00041275,             0.00041275
                     40,                0.94041,                0.61064,                0.97295,                0.77571,                0.86507,                0.87315,                0.55181,                 1.1787,                0.71428,                 1.1382,             0.00037974,             0.00037974,             0.00037974
                     41,                0.89897,                0.56542,                0.95768,                0.77432,                0.84463,                0.86916,                0.54587,                 1.2002,                0.72104,                 1.1504,             0.00034674,             0.00034674,             0.00034674
                     42,                0.93643,                 0.5594,                0.96868,                0.78771,                0.85875,                 0.8762,                0.55998,                 1.1776,                0.72001,                 1.1436,             0.00031373,             0.00031373,             0.00031373
                     43,                0.89848,                0.54038,                0.95351,                0.78544,                0.85653,                0.87487,                 0.5566,                 1.1981,                0.74131,                 1.1553,             0.00028072,             0.00028072,             0.00028072
                     44,                0.85164,                0.51258,                0.93784,                0.80913,                0.81939,                0.87403,                0.55821,                 1.1969,                0.74001,                 1.1654,             0.00024772,             0.00024772,             0.00024772
                     45,                0.88972,                0.54405,                0.95448,                0.81079,                0.80294,                0.87545,                0.55988,                 1.1964,                0.75575,                 1.1689,             0.00021471,             0.00021471,             0.00021471
                     46,                0.84687,                0.52792,                0.93252,                0.84319,                0.77755,                0.87938,                0.55971,                 1.1975,                0.72941,                 1.1692,              0.0001817,              0.0001817,              0.0001817
                     47,                0.84233,                0.51171,                0.93187,                0.84491,                0.77446,                0.87274,                0.56351,                 1.1903,                0.72158,                 1.1713,              0.0001487,              0.0001487,              0.0001487
                     48,                0.83647,                0.50993,                0.93681,                0.80948,                 0.8145,                0.87212,                0.56096,                 1.1885,                0.72229,                 1.1657,             0.00011569,             0.00011569,             0.00011569
                     49,                0.80732,                0.47379,                0.91924,                 0.7873,                0.84413,                 0.8759,                0.56284,                 1.1826,                 0.7238,                 1.1608,             8.2683e-05,             8.2683e-05,             8.2683e-05
