                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.895,                 4.6323,                 1.6403,                0.02282,                0.44055,                 0.0187,                0.01033,                 1.4367,                 38.966,                 1.3658,             0.00018337,             0.00018337,             0.00018337
                      1,                 1.4133,                 2.0819,                 1.2874,                0.00114,                0.07955,                0.00094,                0.00054,                 1.3976,                    inf,                 1.3785,             0.00037582,             0.00037582,             0.00037582
                      2,                 1.4156,                 1.7947,                 1.3092,                0.01719,                  0.604,                0.01382,                0.00769,                 1.4743,                    nan,                 1.5365,             0.00056035,             0.00056035,             0.00056035
                      3,                 1.4036,                 1.5558,                 1.2839,                 0.0068,                0.31212,                0.00525,                0.00313,                    nan,                    nan,                    nan,             0.00073695,             0.00073695,             0.00073695
                      4,                 1.4167,                 1.5749,                 1.3387,                 0.0068,                0.31212,                0.00525,                0.00313,                    nan,                    nan,                    nan,             0.00090563,             0.00090563,             0.00090563
                      5,                 1.2622,                 1.4106,                 1.2386,                 0.0068,                0.31212,                0.00525,                0.00313,                 3.8583,                    inf,                 19.957,              0.0010664,              0.0010664,              0.0010664
                      6,                  1.276,                 1.3114,                 1.2436,                0.06241,                0.27816,                0.03675,                 0.0165,                 2.1296,                    inf,                  2.275,              0.0012192,              0.0012192,              0.0012192
                      7,                 1.3233,                 1.2772,                 1.2807,                 0.5934,                0.61444,                0.58959,                0.31396,                 1.4567,                 3.2994,                 1.5479,              0.0013642,              0.0013642,              0.0013642
                      8,                 1.3278,                 1.2063,                 1.2712,                0.58542,                0.58146,                0.54529,                0.28894,                 1.4655,                 2.0308,                 1.5539,              0.0014029,              0.0014029,              0.0014029
                      9,                 1.3528,                 1.1891,                  1.303,                0.65887,                0.61246,                0.63815,                0.33913,                 1.4152,                 1.6602,                 1.5711,              0.0014029,              0.0014029,              0.0014029
                     10,                 1.3018,                 1.0554,                 1.2686,                 0.6386,                0.58218,                0.58515,                0.34237,                  1.414,                 1.7074,                  1.447,              0.0013699,              0.0013699,              0.0013699
                     11,                 1.2707,                 1.0571,                 1.2463,                0.56806,                0.63484,                0.60329,                0.32114,                 1.5431,                 1.4644,                 1.5503,              0.0013369,              0.0013369,              0.0013369
                     12,                 1.3263,                  1.016,                 1.2707,                0.67876,                0.60595,                0.63456,                0.37149,                 1.4314,                 1.4915,                 1.4647,              0.0013039,              0.0013039,              0.0013039
                     13,                 1.2523,                0.95253,                 1.2231,                0.57054,                 0.6983,                0.64204,                0.37416,                 1.3714,                  2.087,                 1.4242,              0.0012709,              0.0012709,              0.0012709
                     14,                  1.217,                0.90281,                 1.2222,                0.71493,                0.68871,                0.72318,                0.41625,                 1.3585,                 1.2105,                 1.4072,              0.0012379,              0.0012379,              0.0012379
                     15,                 1.1973,                0.85655,                 1.1972,                0.68389,                 0.7797,                0.77009,                0.45439,                  1.315,                 1.2646,                 1.4107,              0.0012049,              0.0012049,              0.0012049
                     16,                 1.1877,                0.88485,                 1.2029,                0.69425,                0.74293,                0.74998,                0.45642,                 1.3116,                 1.3286,                 1.3724,              0.0011719,              0.0011719,              0.0011719
                     17,                 1.1831,                0.85483,                 1.2113,                0.76766,                0.72348,                0.77999,                0.46214,                 1.3052,                 1.0293,                 1.3547,              0.0011389,              0.0011389,              0.0011389
                     18,                  1.176,                0.81731,                 1.2051,                 0.7883,                0.76592,                 0.7921,                0.47824,                 1.2518,                0.92075,                 1.3402,              0.0011059,              0.0011059,              0.0011059
                     19,                 1.1892,                0.84231,                  1.191,                0.72324,                0.78031,                0.76516,                0.44233,                 1.2835,                0.92816,                 1.3182,              0.0010729,              0.0010729,              0.0010729
                     20,                 1.1538,                0.83596,                 1.1736,                 0.7425,                0.73814,                0.76988,                0.45676,                  1.288,                0.95505,                 1.3274,              0.0010399,              0.0010399,              0.0010399
