                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.96419,                0.64752,                 1.0992,                 0.8054,                0.80656,                0.85367,                 0.5378,                 1.2251,                  0.805,                 1.2959,             0.00045676,             0.00045676,             0.00045676
                     35,                 0.9597,                0.61322,                 1.1033,                0.82905,                0.75752,                0.84552,                0.53616,                 1.2117,                0.83971,                 1.2876,             0.00042008,             0.00042008,             0.00042008
                     36,                0.95774,                0.58944,                 1.0905,                0.83665,                0.78047,                0.84801,                0.53831,                 1.2026,                0.74404,                 1.2898,             0.00038341,             0.00038341,             0.00038341
                     37,                0.94264,                0.59139,                  1.089,                0.80865,                0.80542,                0.84635,                0.54148,                 1.1978,                 0.7615,                 1.2981,             0.00034674,             0.00034674,             0.00034674
                     38,                0.92383,                0.58969,                 1.0747,                0.80473,                0.80492,                0.85159,                0.53764,                 1.1876,                0.75507,                  1.276,             0.00031006,             0.00031006,             0.00031006
                     39,                0.92555,                0.56567,                 1.0873,                0.80689,                0.80294,                 0.8495,                0.54346,                 1.1679,                 0.7511,                  1.266,             0.00027339,             0.00027339,             0.00027339
                     40,                0.93419,                0.55512,                 1.0758,                 0.7823,                0.81829,                0.85874,                0.55645,                 1.1644,                0.74431,                 1.2783,             0.00023671,             0.00023671,             0.00023671
                     41,                0.87478,                 0.5261,                 1.0605,                0.79695,                0.81209,                0.86163,                0.55356,                 1.1695,                  0.754,                  1.277,             0.00020004,             0.00020004,             0.00020004
                     42,                0.88463,                0.53095,                 1.0572,                0.83806,                0.78427,                0.86075,                0.55606,                 1.1877,                0.76212,                 1.2983,             0.00016337,             0.00016337,             0.00016337
                     43,                0.87591,                0.51629,                 1.0489,                0.80506,                 0.8277,                0.86061,                0.55769,                 1.1699,                 0.7682,                 1.2775,             0.00012669,             0.00012669,             0.00012669
                     44,                0.87009,                0.53021,                 1.0489,                0.84457,                0.77973,                0.85891,                0.55955,                 1.1649,                0.76121,                 1.2733,             9.0018e-05,             9.0018e-05,             9.0018e-05
