                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.9476,                 3.4508,                 1.5914,                0.29188,                0.58815,                0.24855,                0.13792,                 1.4085,                 7.3622,                 1.3425,             0.00018337,             0.00018337,             0.00018337
                      1,                 1.3982,                 1.9505,                 1.2003,                0.07558,                0.34349,                 0.0691,                0.04033,                 1.3977,                    inf,                 1.2179,             0.00037651,             0.00037651,             0.00037651
                      2,                 1.3427,                 1.6577,                  1.158,                0.45928,                 0.5346,                0.46851,                0.26483,                 1.3038,                 2.4909,                 1.0908,             0.00056245,             0.00056245,             0.00056245
                      3,                 1.3492,                 1.4184,                  1.139,                0.62898,                0.56845,                0.59423,                0.33643,                 1.3722,                 1.7194,                 1.1566,             0.00074118,             0.00074118,             0.00074118
                      4,                  1.345,                 1.3161,                 1.1516,                0.60274,                0.38493,                0.41416,                 0.2348,                 1.4223,                   2.21,                 1.2421,             0.00091272,             0.00091272,             0.00091272
                      5,                   1.24,                 1.2743,                 1.0886,                0.35787,                0.54292,                0.38186,                0.21631,                  1.352,                 4.5678,                 1.1936,               0.001077,               0.001077,               0.001077
                      6,                 1.3119,                 1.1851,                 1.1234,                0.45461,                0.60502,                0.48505,                0.26183,                 1.4721,                 2.9806,                 1.2464,              0.0012342,              0.0012342,              0.0012342
                      7,                 1.2945,                 1.1242,                 1.1335,                0.55489,                0.57668,                0.57019,                 0.3162,                 1.4204,                 3.4252,                 1.2453,              0.0013841,              0.0013841,              0.0013841
                      8,                 1.2748,                 1.1534,                 1.1235,                0.59841,                0.59204,                0.54281,                0.29632,                 1.5137,                 1.7918,                 1.3492,               0.001427,               0.001427,               0.001427
                      9,                 1.2788,                 1.0651,                  1.156,                0.50228,                 0.6835,                0.53893,                0.31218,                 1.3649,                 1.9791,                 1.2358,               0.001427,               0.001427,               0.001427
                     10,                 1.2243,                 1.0066,                 1.1121,                 0.7395,                0.57798,                0.69469,                 0.4129,                 1.3233,                  1.436,                 1.2226,              0.0013969,              0.0013969,              0.0013969
                     11,                 1.2162,                 1.0609,                  1.114,                 0.7008,                0.63882,                0.65833,                0.36992,                 1.4835,                 1.2507,                 1.3036,              0.0013669,              0.0013669,              0.0013669
                     12,                 1.2851,                 1.0386,                 1.1275,                0.73401,                0.66905,                0.73959,                0.42454,                 1.3042,                 1.4553,                 1.1895,              0.0013369,              0.0013369,              0.0013369
                     13,                 1.2366,                0.96202,                 1.1023,                0.68673,                0.73798,                   0.72,                0.42735,                 1.2692,                 1.2848,                 1.1831,              0.0013069,              0.0013069,              0.0013069
                     14,                 1.1811,                0.92945,                 1.0823,                0.71509,                0.71582,                0.76187,                 0.4631,                 1.2469,                 1.1266,                 1.1266,              0.0012769,              0.0012769,              0.0012769
                     15,                 1.1601,                0.88776,                  1.062,                0.77087,                0.74768,                0.79938,                0.47255,                  1.302,                 1.0496,                 1.2164,              0.0012469,              0.0012469,              0.0012469
                     16,                   1.16,                0.87848,                 1.0793,                0.79631,                0.70974,                0.79505,                0.46834,                 1.2725,                 1.0061,                 1.1855,              0.0012169,              0.0012169,              0.0012169
                     17,                 1.1495,                0.88083,                 1.0865,                0.77749,                0.72312,                0.78656,                0.46211,                 1.3436,                0.96772,                 1.1901,              0.0011869,              0.0011869,              0.0011869
