                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.3509,                 5.1139,                 1.8205,                0.16274,                 0.1527,                0.07783,                0.03536,                 1.5606,                 3.0432,                 1.2232,             0.00018337,             0.00018337,             0.00018337
                      1,                 1.5512,                 1.9861,                 1.1796,                 0.3005,                 0.3651,                0.30002,                0.15553,                 1.5095,                 2.3378,                 1.2323,             0.00037708,             0.00037708,             0.00037708
                      2,                 1.4733,                 1.6529,                 1.1466,                0.28201,                0.46148,                0.30179,                0.18134,                 1.3524,                 2.2205,                 1.1246,              0.0005642,              0.0005642,              0.0005642
                      3,                 1.4215,                 1.4798,                 1.0867,                0.49733,                0.23032,                0.24775,                0.12628,                 1.5294,                 2.8683,                 1.2795,             0.00074471,             0.00074471,             0.00074471
                      4,                 1.4036,                 1.4497,                  1.131,                0.49365,                0.22929,                0.26976,                0.14247,                  1.645,                 2.7002,                 1.3928,             0.00091862,             0.00091862,             0.00091862
                      5,                 1.2549,                 1.3302,                 1.0431,                0.64016,                0.30561,                0.37523,                0.19153,                 1.5399,                  2.876,                  1.327,              0.0010859,              0.0010859,              0.0010859
                      6,                 1.2969,                 1.2191,                 1.0488,                0.45638,                0.37719,                0.40455,                0.22369,                 1.4989,                 2.2508,                 1.2342,              0.0012466,              0.0012466,              0.0012466
                      7,                  1.295,                 1.1335,                 1.0654,                 0.5757,                0.46715,                0.53775,                 0.2744,                 1.5761,                 2.1044,                 1.2702,              0.0014007,              0.0014007,              0.0014007
                      8,                 1.2636,                 1.1308,                 1.0542,                0.53383,                0.42636,                0.47142,                0.22299,                 1.7763,                 1.8561,                 1.2892,               0.001447,               0.001447,               0.001447
                      9,                 1.2877,                 1.1183,                  1.083,                0.52794,                0.50824,                0.49141,                0.22107,                 1.6969,                 1.6607,                 1.2183,               0.001447,               0.001447,               0.001447
                     10,                  1.295,                 1.0257,                 1.0634,                0.51813,                0.53906,                0.52246,                0.25787,                 1.4663,                 1.5338,                 1.1417,              0.0014195,              0.0014195,              0.0014195
                     11,                 1.2334,                 1.0309,                 1.0495,                0.62738,                0.55501,                0.57333,                0.29469,                 1.4802,                 1.4323,                 1.1738,              0.0013919,              0.0013919,              0.0013919
                     12,                   1.28,                 1.0178,                 1.0501,                0.63172,                0.63818,                 0.6385,                0.32499,                 1.4988,                 1.3866,                 1.1822,              0.0013644,              0.0013644,              0.0013644
                     13,                 1.2706,                0.98227,                 1.0481,                0.65827,                0.66086,                0.67845,                0.35469,                 1.4184,                 1.3652,                  1.161,              0.0013369,              0.0013369,              0.0013369
                     14,                 1.1988,                0.94571,                 1.0228,                0.66157,                0.69926,                0.70929,                 0.3961,                 1.3181,                 1.0745,                 1.1076,              0.0013094,              0.0013094,              0.0013094
                     15,                 1.1857,                0.88818,                 1.0204,                0.73868,                0.69303,                0.75803,                0.41173,                 1.3836,                 1.0155,                 1.1604,              0.0012819,              0.0012819,              0.0012819
                     16,                  1.193,                0.86465,                  1.018,                 0.7586,                0.74521,                0.80588,                0.46822,                 1.2654,                0.90506,                 1.0922,              0.0012544,              0.0012544,              0.0012544
                     17,                 1.1906,                0.88372,                 1.0321,                0.75488,                0.73628,                0.80229,                0.47945,                 1.2222,                0.88672,                 1.0708,              0.0012269,              0.0012269,              0.0012269
                     18,                 1.1678,                 0.8337,                 1.0176,                0.78347,                 0.7408,                0.79304,                0.45993,                 1.2364,                0.91066,                 1.0684,              0.0011994,              0.0011994,              0.0011994
                     19,                 1.1401,                0.84587,                0.99971,                0.73197,                0.78221,                0.78293,                  0.463,                 1.2509,                0.90264,                 1.0707,              0.0011719,              0.0011719,              0.0011719
                     20,                  1.126,                0.82097,                0.99703,                 0.7623,                0.72818,                0.77984,                0.47952,                 1.2557,                0.89376,                 1.0895,              0.0011444,              0.0011444,              0.0011444
                     21,                 1.1596,                 0.8342,                 1.0066,                0.74094,                0.71541,                0.74445,                0.44678,                 1.2492,                0.96406,                 1.0946,              0.0011169,              0.0011169,              0.0011169
                     22,                 1.1171,                0.80112,                0.99548,                0.80785,                0.72767,                0.80329,                0.48798,                 1.2695,                0.83953,                 1.1045,              0.0010894,              0.0010894,              0.0010894
                     23,                  1.117,                0.77825,                0.99376,                0.79953,                0.78534,                0.82569,                0.49913,                 1.2528,                0.80714,                 1.0784,              0.0010619,              0.0010619,              0.0010619
                     24,                  1.135,                0.77674,                 1.0151,                0.81349,                0.79861,                0.83075,                0.50709,                 1.2325,                0.79901,                 1.0585,              0.0010344,              0.0010344,              0.0010344
                     25,                 1.1401,                0.78183,                0.99171,                 0.7619,                0.79623,                0.80281,                0.47374,                 1.2681,                0.85088,                 1.0894,              0.0010069,              0.0010069,              0.0010069
                     26,                 1.0774,                0.78751,                0.97156,                 0.8216,                0.72233,                0.81203,                 0.5086,                  1.239,                0.82041,                 1.0639,             0.00097936,             0.00097936,             0.00097936
                     27,                 1.1151,                0.77868,                 1.0108,                0.80163,                0.76479,                0.82117,                0.50789,                 1.1966,                 0.8417,                 1.0542,             0.00095186,             0.00095186,             0.00095186
                     28,                 1.1042,                0.73277,                  1.003,                0.81251,                0.80782,                0.84513,                0.52501,                 1.1878,                0.77403,                 1.0421,             0.00092435,             0.00092435,             0.00092435
                     29,                 1.0674,                0.77624,                0.97922,                0.75272,                0.81537,                0.82338,                0.50467,                 1.1997,                0.77248,                 1.0514,             0.00089685,             0.00089685,             0.00089685
                     30,                  1.073,                0.73031,                0.97813,                0.78103,                0.79661,                0.84513,                0.52498,                 1.1906,                  0.793,                  1.056,             0.00086934,             0.00086934,             0.00086934
                     31,                 1.0505,                0.71293,                0.97039,                0.80775,                0.77301,                0.85555,                0.53189,                 1.2246,                 0.8032,                 1.0743,             0.00084184,             0.00084184,             0.00084184
                     32,                 1.0272,                0.70239,                0.96226,                0.82028,                0.78759,                 0.8567,                0.52252,                 1.2304,                0.76478,                 1.0733,             0.00081433,             0.00081433,             0.00081433
                     33,                 1.0364,                0.68255,                0.96314,                0.76344,                0.82722,                0.85049,                0.52477,                 1.1988,                0.79447,                 1.0705,             0.00078682,             0.00078682,             0.00078682
